3,04041964Karl1860,"Sa04.04.1964, 17:00",Karlsruhe,1860 München,Wildparkstadion,25000,Karlsruhe,"Sparing, Günter",Kassel
4,04041964MünsSaar,"Sa04.04.1964, 17:00",Münster,Saarbrücken,Preußenstadion,12000,Münster,"Kreitlein, Rudolf",Stuttgart
5,04041964HertScha,"Sa04.04.1964, 17:00",Hertha,Schalke,Olympiastadion,40000,Berlin,"Fritz, Oswald",Ludwigshafen
6,04041964FranBrem,"Sa04.04.1964, 17:00",Frankfurt,Bremen,Waldstadion,18000,Frankfurt,"Thier, Willi",Gelsenkirchen
7,11041964StutHSV,"Sa11.04.1964, 17:00",Stuttgart,HSV,Neckarstadion,75000,Stuttgart,"Malka, Johannes",Herten
8,11041964DortMeid,"Sa11.04.1964, 17:00",Dortmund,Meidericher SV,Rote Erde,23000,Dortmun,"Deuschel, Edgar",Ludwigshafen
9,11041964BrauKla,"Sa11.04.1964, 17:00",Braunschweig,K'lautern,Eintracht-Stadion,16000,Braunschweig,"Niemeyer, Karl",Bad Godesberg
0,11041964KölnNürn,"Sa11.04.1964, 17:00",Köln,Nürnberg,Müngersdorfer Stadion,32000,Köl,"Gusenburger, Willi",Saarbrücken
1,11041964BremKarl,"Sa11.04.1964, 17:00",Bremen,Karlsruhe,Weser-Stadion,10000,Bremen,"Treichel, Werner",Berlin
2,110419641860Fran,"Sa11.04.1964, 17:00",1860 München,Frankfurt,Stadion an der Grünwalder Straße,38000,Münch,"Handwerker, Kurt",Ketsch
3,11041964SaarHert,"Sa11.04.1964, 17:00",Saarbrücken,Hertha,Ludwigsparkstadion,10000,Saarbrücken,"Sparing, Günter",Kassel
4,15041964HertBrem,"Mi15.04.1964, 20:00",Hertha,Bremen,Olympiastadion,16000,Berlin,"Kreitlein, Rudolf",Stuttgart
5,18041964HSVKla,"Sa18.04.1964, 17:00",HSV,K'lautern,Volksparkstadion,23000,Hamburg,"Schmidt, Berthold",Hermesdorf
6,18041964BrauStut,"Sa18.04.1964, 17:00",Braunschweig,Stuttgart,Eintracht-Stadion,16000,Braunschweig,"Deuschel, Edgar",Ludwigshafen
7,18041964MeidNürn,"Sa18.04.1964, 17:00",Meidericher SV,Nürnberg,Wedaustadion,18000,Duisburg,"Schulenburg, Gerhard",Laatzen
8,18041964KölnDort,"Sa18.04.1964, 17:00",Köln,Dortmund,Müngersdorfer Stadion,46000,Köl,"Tschenscher, Kurt",Mannheim
0,18041964MünsFran,"Sa18.04.1964, 17:00",Münster,Frankfurt,Preußenstadion,25000,Münster,"Ott, Alfred",Rheinbrohl
1,180419641860Scha,"Sa18.04.1964, 17:00",1860 München,Schalke,Stadion an der Grünwalder Straße,20000,Münch,"Zimmermann, Walter",Wolfsburg
2,18041964KarlHert,"Sa18.04.1964, 17:00",Karlsruhe,Hertha,Wildparkstadion,35000,Karlsruhe,"Baumgärtel, Günther",Hagen
3,18041964SaarBrem,"Sa18.04.1964, 17:00",Saarbrücken,Bremen,Ludwigsparkstadion,8000,Saarbrücken,"Fischer, Heinz",Augsburg
4,25041964NürnBrau,"Sa25.04.1964, 17:00",Nürnberg,Braunschweig,Städtisches Stadion,12000,Nürnberg,"Schörnich, Fritz",Düsseldorf
5,25041964KlaKöln,"Sa25.04.1964, 17:00",K'lautern,Köln,Betzenberg,28000,Kaiserslautern,"Jacobi, Rudibert",Heidelberg
6,25041964StutMeid,"Sa25.04.1964, 17:00",Stuttgart,Meidericher SV,Neckarstadion,35000,Stuttgart,"Ott, Alfred",Rheinbrohl
